sub,onset,offset,cat,tier
1,0.783,1.696,questi piattini (RE),Caregiver voc
1,1.696,2.601,mescoli la pappa (DA),Caregiver voc
1,2.603,4.607,e gliene dai un pochino alla bambolina forse? (QA),Caregiver voc
1,4.715,5.092,sì (C),Infant voc
1,5.697,6.31,così. (C),Caregiver voc
1,6.479,7.941,xxx,Infant voc
1,8.796,10.013,xxx,Infant voc
1,10.538,10.963,xxx,Infant voc
1,11.9,13.205,xxx la bambina (CW),Infant voc
1,13.4,14.606,xxx,Infant voc
1,15.406,17.239,xxx ina,Infant voc
1,17.399,18.208,vieni Olga. (DA NC),Caregiver voc
1,18.607,19.205,guarda (DA),Caregiver voc
1,20.601,22.209,non ti piace questo gioco? (QO),Caregiver voc
1,22.8,23.55,no (CW),Infant voc
1,23.567,24.411,no? (C),Caregiver voc
1,24.902,26.467,pappa (CW),Infant voc
1,26.431,27.123,non ti piace questo (RO),Caregiver voc
1,27.124,28.485,non ti piacciono questi? (QO),Caregiver voc
1,28.597,29.171,no (CW),Infant voc
1,29.171,29.943,c’è il coperchio. (RE),Caregiver voc
1,29.944,31.006,dov’era il coperchio?.(QE),Caregiver voc
1,32.404,32.826,bò,Infant voc
1,34.101,34.723, eccolo qua.(RE),Caregiver voc
1,37.599,38.005,papa ,Infant voc
1,38.305,40.244,versiamo il tè qua nei bicchieri. (W),Caregiver voc
1,41.203,42.284,mescola bravo (DA AE),Caregiver voc
1,42.284,43.404,c’è qua lo zucchero (RE) ,Caregiver voc
1,43.407,44.004,versa il tè (DA),Caregiver voc
1,45.101,46.41,oh xxx,Infant voc
1,46.593,47.807,xxx,Infant voc
1,48.0,49.205,la bambina (CW),Infant voc
1,49.278,50.128,la bambolina? (QE),Caregiver voc
1,50.202,50.858,sì (CW),Infant voc
1,51.194,52.126,sì (C),Caregiver voc
1,52.134,52.95,prendila in braccio (DA),Caregiver voc
1,52.952,53.402,è piccola (RE),Caregiver voc
1,53.402,54.506,non sa stare seduta ( - ),Caregiver voc
1,53.529,55.228,xxx,Infant voc
1,55.338,55.801,cosa? (QO),Caregiver voc
1,56.292,57.607,xxx,Infant voc
1,58.603,59.664,xxx,Infant voc
1,61.66,63.102,vuoi che ti leggo il libro? (QM),Caregiver voc
1,64.192,64.603,mmm? (AN),Caregiver voc
1,64.6,65.004,sì (CW),Infant voc
1,65.296,65.889,sì vieni (C DA),Caregiver voc
1,66.399,67.008,xxx,Infant voc
1,68.52,69.208,vieni qui ( - ),Caregiver voc
1,70.705,71.106,allora (C),Caregiver voc
1,71.914,72.488,questo (RE),Caregiver voc
1,73.196,75.14,eh no ma male (CW),Infant voc
1,75.163,76.17,ti fa male? (QO),Caregiver voc
1,76.321,76.546,sì ,Infant voc
1,76.901,79.209,spetta spetta che mettiamo apposto qui. (DA W),Caregiver voc
1,81.662,83.006,sto povero culetto (RO),Caregiver voc
1,83.798,84.299,[MOM dà un bacio],Caregiver voc
1,84.436,85.002,passato? (QO),Caregiver voc
1,85.393,85.833,sì (CW),Infant voc
1,86.399,87.608,male della puntura? (QO),Caregiver voc
1,87.994,88.266,sì (CW),Infant voc
1,88.4,89.212,siediti qua (DA),Caregiver voc
1,90.941,92.547,ehh male (CW),Infant voc
1,92.557,93.203,ti fa ancora male? (QO),Caregiver voc
1,93.203,95.485,ma dovrai restare sempre in piedi per il resto della vita. (RO),Caregiver voc
1,95.334,95.611,tò,Infant voc
1,96.603,97.668,così non ti fa male? (QO),Caregiver voc
1,97.875,98.198,sì (CW),Infant voc
1,98.16,98.547,va bene (C),Caregiver voc
1,99.5,100.209,allora (C),Caregiver voc
1,100.599,101.001,qui (RE),Caregiver voc
1,102.597,103.105,i cubi,Caregiver voc
1,104.037,104.807,xxx,Infant voc
1,105.339,107.21,questa è una bambolina. (RE),Caregiver voc
1,108.328,109.03,questo cos’è? (QE),Caregiver voc
1,109.339,110.646,ohhh,Infant voc
1,110.661,111.468,cos’è questo? (QE),Caregiver voc
1,111.468,112.866,xxx,Infant voc
1,112.88,113.568,cos’è questo? ( - ),Caregiver voc
1,113.568,113.965,un? ( - ),Caregiver voc
1,114.001,114.929,(ae)reo,Infant voc
1,114.959,115.606,un aereo? (QE),Caregiver voc
1,115.8,116.196,sì (CW),Infant voc
1,116.335,118.608,come quelli che ti ha portato a vedere papà in aeroporto? (QE),Caregiver voc
1,118.61,119.006,sì (CW),Infant voc
1,119.006,119.705,come facevano? (QE),Caregiver voc
1,119.886,120.866,[fa il verso dell’aereo]	(CWOP),Infant voc
