sub,onset,offset,cat,tier,reli
1,0.783,1.696,questi piattini (RE),Caregiver voc,original
1,0.799,1.716,questi piattini. (RE),Caregiver voc,reli
1,1.696,2.601,mescoli la pappa (DA),Caregiver voc,original
1,1.718,2.679,mescoli la pappa. (DA),Caregiver voc,reli
1,2.603,4.607,e gliene dai un pochino alla bambolina forse? (QA),Caregiver voc,original
1,2.686,4.647,e gliene dai un pochino alla bambolina forse? (QA),Caregiver voc,reli
1,4.715,5.092,sì (C),Infant voc,original
1,4.881,5.05,sì. (CW),Infant voc,reli
1,5.697,6.31,così. (C),Caregiver voc,original
1,5.822,6.263,così. (C),Caregiver voc,reli
1,6.479,7.941,xxx,Infant voc,original
1,6.576,7.394,xxx,Infant voc,reli
1,7.557,7.922,xxx,Infant voc,reli
1,8.796,10.013,xxx,Infant voc,original
1,8.97,9.632,xxx,Infant voc,reli
1,10.538,10.963,xxx,Infant voc,original
1,10.682,10.871,xxx,Infant voc,reli
1,11.9,13.205,xxx la bambina (CW),Infant voc,original
1,12.055,13.103,xxx,Infant voc,reli
1,13.4,14.606,xxx,Infant voc,original
1,13.664,14.14,xxx,Infant voc,reli
1,15.406,17.239,xxx ina,Infant voc,original
1,15.884,16.999,xxx la bambina. (CW),Infant voc,reli
1,17.399,18.208,vieni Olga. (DA NC),Caregiver voc,original
1,17.558,18.243,vieni Olga. (DA NC),Caregiver voc,reli
1,18.607,19.205,guarda (DA),Caregiver voc,original
1,18.755,19.17,guarda. (DA),Caregiver voc,reli
1,20.601,22.209,non ti piace questo gioco? (QO),Caregiver voc,original
1,20.817,21.903,non ti piace questo gioco? (QO),Caregiver voc,reli
1,22.8,23.55,no (CW),Infant voc,original
1,22.866,23.456,no. (CW),Infant voc,reli
1,23.567,24.411,no? (C),Caregiver voc,original
1,23.74,24.184,no? (C),Caregiver voc,reli
1,24.902,26.467,pappa (CW),Infant voc,original
1,25.002,25.394,xxx,Infant voc,reli
1,25.576,26.362,pappa. (CW),Infant voc,reli
1,26.431,27.123,non ti piace questo (RO),Caregiver voc,original
1,26.531,28.542,non ti piace questo. non ti piacciono questi? (RO QO),Caregiver voc,reli
1,27.124,28.485,non ti piacciono questi? (QO),Caregiver voc,original
1,28.597,29.171,no (CW),Infant voc,original
1,28.911,29.182,no. (CW),Infant voc,reli
1,29.171,29.943,c’è il coperchio. (RE),Caregiver voc,original
1,29.34,31.109,c’è il coperchio. dov’era il coperchio? (RE QE),Caregiver voc,reli
1,29.944,31.006,dov’era il coperchio?.(QE),Caregiver voc,original
1,32.404,32.826,bò,Infant voc,original
1,32.493,32.646,bò.,Infant voc,reli
1,34.101,34.723, eccolo qua.(RE),Caregiver voc,original
1,34.16,34.489,eccolo qua. (RE),Caregiver voc,reli
1,37.599,38.005,papa ,Infant voc,original
1,37.779,38.105,papa.,Infant voc,reli
1,38.305,40.244,versiamo il tè qua nei bicchieri. (W),Caregiver voc,original
1,38.546,40.226,versiamo il tè qua nei bicchieri. (W),Caregiver voc,reli
1,41.203,42.284,mescola bravo (DA AE),Caregiver voc,original
1,41.372,44.12,mescola bravo. c’è qua lo zucchero. versa il tè. (DA AE RE DA),Caregiver voc,reli
1,42.284,43.404,c’è qua lo zucchero (RE) ,Caregiver voc,original
1,43.407,44.004,versa il tè (DA),Caregiver voc,original
1,45.101,46.41,oh xxx,Infant voc,original
1,45.155,45.582,oh.,Infant voc,reli
1,46.086,46.42,xxx,Infant voc,reli
1,46.593,47.807,xxx,Infant voc,original
1,46.66,47.512,xxx,Infant voc,reli
1,48.0,49.205,la bambina (CW),Infant voc,original
1,48.13,49.196,la bambina. (CW),Infant voc,reli
1,49.278,50.128,la bambolina? (QE),Caregiver voc,original
1,49.412,50.173,la bambolina? (QE),Caregiver voc,reli
1,50.202,50.858,sì (CW),Infant voc,original
1,50.378,50.728,sì. (CW),Infant voc,reli
1,51.194,52.126,sì (C),Caregiver voc,original
1,51.363,52.091,sì. (C),Caregiver voc,reli
1,52.134,52.95,prendila in braccio (DA),Caregiver voc,original
1,52.334,52.884,prendila in braccio. (DA),Caregiver voc,reli
1,52.952,53.402,è piccola (RE),Caregiver voc,original
1,52.981,54.563,è piccola. non sa stare seduta. (RE),Caregiver voc,reli
1,53.402,54.506,non sa stare seduta ( - ),Caregiver voc,original
1,53.529,55.228,xxx,Infant voc,original
1,53.574,54.197,xxx,Infant voc,reli
1,54.477,55.136,xxx,Infant voc,reli
1,55.338,55.801,cosa? (QO),Caregiver voc,original
1,55.466,55.694,cosa? (QO),Infant voc,reli
1,56.292,57.607,xxx,Infant voc,original
1,56.368,57.54,xxx,Infant voc,reli
1,58.603,59.664,xxx,Infant voc,original
1,58.709,59.69,xxx,Infant voc,reli
1,61.66,63.102,vuoi che ti leggo il libro? (QM),Caregiver voc,original
1,61.855,62.912,vuoi che ti leggo il libro? (QM),Caregiver voc,reli
1,64.192,64.603,mmm? (AN),Caregiver voc,original
1,64.357,64.572,mmm? (AN),Caregiver voc,reli
1,64.6,65.004,sì (CW),Infant voc,original
1,64.652,64.834,sì. (CW),Infant voc,reli
1,65.296,65.889,sì vieni (C DA),Caregiver voc,original
1,65.371,65.814,sì vieni. (C DA),Caregiver voc,reli
1,66.399,67.008,xxx,Infant voc,original
1,66.425,67.052,xxx,Infant voc,reli
1,68.52,69.208,vieni qui ( - ),Caregiver voc,original
1,68.541,68.862,vieni qui.,Caregiver voc,reli
1,70.7,70.935,allora. (C),Caregiver voc,reli
1,70.705,71.106,allora (C),Caregiver voc,original
1,71.914,72.488,questo (RE),Caregiver voc,original
1,72.004,72.475,questo. (RE),Caregiver voc,reli
1,73.196,75.14,eh no ma male (CW),Infant voc,original
1,73.29,75.183,eh no ma male. (CW),Infant voc,reli
1,75.163,76.17,ti fa male? (QO),Caregiver voc,original
1,75.323,76.066,ti fa male? (QO),Caregiver voc,reli
1,76.321,76.546,sì ,Infant voc,original
1,76.465,76.569,sì.,Infant voc,reli
1,76.901,79.209,spetta spetta che mettiamo apposto qui. (DA W),Caregiver voc,original
1,77.098,79.159,spetta spetta che mettiamo apposto qui. (DA W),Caregiver voc,reli
1,81.662,83.006,sto povero culetto (RO),Caregiver voc,original
1,81.798,82.868,sto povero culetto. (RO),Caregiver voc,reli
1,83.798,84.299,[MOM dà un bacio],Caregiver voc,original
1,84.436,85.002,passato? (QO),Caregiver voc,original
1,84.601,84.926,passato? (QO),Caregiver voc,reli
1,85.393,85.833,sì (CW),Infant voc,original
1,85.488,85.696,sì. (CW),Infant voc,reli
1,86.399,87.608,male della puntura? (QO),Caregiver voc,original
1,86.545,87.554,male della puntura? (QO),Caregiver voc,reli
1,87.994,88.266,sì (CW),Infant voc,original
1,88.012,88.17,sì. (CW),Infant voc,reli
1,88.4,89.212,siediti qua (DA),Caregiver voc,original
1,88.481,88.871,siediti qua. (DA),Caregiver voc,reli
1,90.941,92.547,ehh male (CW),Infant voc,original
1,90.98,92.427,ehh male. (CW),Infant voc,reli
1,92.499,95.071,ti fa ancora male? ma dovrai restare sempre in piedi per il resto della vita. (QO RO),Caregiver voc,reli
1,92.557,93.203,ti fa ancora male? (QO),Caregiver voc,original
1,93.203,95.485,ma dovrai restare sempre in piedi per il resto della vita. (RO),Caregiver voc,original
1,95.334,95.611,tò,Infant voc,original
1,95.48,95.579,tò.,Infant voc,reli
1,96.283,96.376,xxx,Caregiver voc,reli
1,96.603,97.668,così non ti fa male? (QO),Caregiver voc,original
1,96.742,97.684,così non ti fa male? (QO),Caregiver voc,reli
1,97.875,98.198,sì (CW),Infant voc,original
1,97.947,98.132,sì. (CW),Infant voc,reli
1,98.16,98.547,va bene (C),Caregiver voc,original
1,98.166,98.415,va bene. (C),Caregiver voc,reli
1,99.5,100.209,allora (C),Caregiver voc,original
1,99.67,99.956,allora. (C),Caregiver voc,reli
1,100.599,101.001,qui (RE),Caregiver voc,original
1,100.631,100.775,qui. (RE),Infant voc,reli
1,102.597,103.105,i cubi,Caregiver voc,original
1,102.626,103.111,i cubi.,Caregiver voc,reli
