,sub,onset,offset,cat,tier,group,latency,latency group,latency_milli
1,1,0.783,1.696,questi piattini (RE),Caregiver voc,TD,,,
2,1,1.696,2.601,mescoli la pappa (DA),Caregiver voc,TD,0.0,cg-cg,0.0
3,1,2.603,4.607,e gliene dai un pochino alla bambolina forse? (QA),Caregiver voc,TD,0.002000000000000224,cg-cg,2.000000000000224
4,1,4.715,5.092,sì (C),Infant voc,TD,0.10799999999999965,cg-inf,107.99999999999966
5,1,5.697,6.31,così. (C),Caregiver voc,TD,0.6050000000000004,inf-cg,605.0000000000005
6,1,6.479,7.941,xxx,Infant voc,TD,0.16900000000000048,cg-inf,169.00000000000048
7,1,8.796,10.013,xxx,Infant voc,TD,0.8549999999999995,inf-inf,854.9999999999995
8,1,10.538,10.963,xxx,Infant voc,TD,0.5250000000000004,inf-inf,525.0000000000003
9,1,11.9,13.205,xxx la bambina (CW),Infant voc,TD,0.9370000000000012,inf-inf,937.0000000000011
10,1,13.4,14.606,xxx,Infant voc,TD,0.19500000000000028,inf-inf,195.00000000000028
11,1,15.406,17.239,xxx ina,Infant voc,TD,0.8000000000000007,inf-inf,800.0000000000007
12,1,17.399,18.208,vieni Olga. (DA NC),Caregiver voc,TD,0.16000000000000014,inf-cg,160.00000000000014
13,1,18.607,19.205,guarda (DA),Caregiver voc,TD,0.3990000000000009,cg-cg,399.0000000000009
14,1,20.601,22.209,non ti piace questo gioco? (QO),Caregiver voc,TD,1.3960000000000008,cg-cg,1396.000000000001
15,1,22.8,23.55,no (CW),Infant voc,TD,0.5910000000000011,cg-inf,591.0000000000011
16,1,23.567,24.411,no? (C),Caregiver voc,TD,0.01699999999999946,inf-cg,16.99999999999946
17,1,24.902,26.467,pappa (CW),Infant voc,TD,0.49099999999999966,cg-inf,490.99999999999966
18,1,26.431,27.123,non ti piace questo (RO),Caregiver voc,TD,-0.03599999999999781,inf-cg,-35.99999999999781
19,1,27.124,28.485,non ti piacciono questi? (QO),Caregiver voc,TD,0.0009999999999976694,cg-cg,0.9999999999976694
20,1,28.597,29.171,no (CW),Infant voc,TD,0.11200000000000188,cg-inf,112.00000000000188
21,1,29.171,29.943,c’è il coperchio. (RE),Caregiver voc,TD,0.0,inf-cg,0.0
22,1,29.944,31.006,dov’era il coperchio?.(QE),Caregiver voc,TD,0.0009999999999976694,cg-cg,0.9999999999976694
23,1,32.404,32.826,bò,Infant voc,TD,1.3980000000000032,cg-inf,1398.0000000000032
24,1,34.101,34.723, eccolo qua.(RE),Caregiver voc,TD,1.2749999999999986,inf-cg,1274.9999999999986
25,1,37.599,38.005,papa ,Infant voc,TD,2.8759999999999977,cg-inf,2875.9999999999977
26,1,38.305,40.244,versiamo il tè qua nei bicchieri. (W),Caregiver voc,TD,0.29999999999999716,inf-cg,299.99999999999716
27,1,41.203,42.284,mescola bravo (DA AE),Caregiver voc,TD,0.9590000000000032,cg-cg,959.0000000000032
28,1,42.284,43.404,c’è qua lo zucchero (RE) ,Caregiver voc,TD,0.0,cg-cg,0.0
29,1,43.407,44.004,versa il tè (DA),Caregiver voc,TD,0.0029999999999930083,cg-cg,2.9999999999930083
30,1,45.101,46.41,oh xxx,Infant voc,TD,1.0970000000000013,cg-inf,1097.0000000000014
31,1,46.593,47.807,xxx,Infant voc,TD,0.18300000000000693,inf-inf,183.00000000000693
32,1,48.0,49.205,la bambina (CW),Infant voc,TD,0.19299999999999784,inf-inf,192.99999999999784
33,1,49.278,50.128,la bambolina? (QE),Caregiver voc,TD,0.0730000000000004,inf-cg,73.0000000000004
34,1,50.202,50.858,sì (CW),Infant voc,TD,0.07399999999999807,cg-inf,73.99999999999807
35,1,51.194,52.126,sì (C),Caregiver voc,TD,0.3360000000000056,inf-cg,336.0000000000056
36,1,52.134,52.95,prendila in braccio (DA),Caregiver voc,TD,0.008000000000002672,cg-cg,8.000000000002672
37,1,52.952,53.402,è piccola (RE),Caregiver voc,TD,0.001999999999995339,cg-cg,1.9999999999953388
38,1,53.402,54.506,non sa stare seduta ( - ),Caregiver voc,TD,0.0,cg-cg,0.0
39,1,53.529,55.228,xxx,Infant voc,TD,-0.9769999999999968,cg-inf,-976.9999999999968
40,1,55.338,55.801,cosa? (QO),Caregiver voc,TD,0.10999999999999943,inf-cg,109.99999999999943
41,1,56.292,57.607,xxx,Infant voc,TD,0.49099999999999966,cg-inf,490.99999999999966
42,1,58.603,59.664,xxx,Infant voc,TD,0.9960000000000022,inf-inf,996.0000000000023
43,1,61.66,63.102,vuoi che ti leggo il libro? (QM),Caregiver voc,TD,1.9959999999999951,inf-cg,1995.999999999995
44,1,64.192,64.603,mmm? (AN),Caregiver voc,TD,1.0899999999999963,cg-cg,1089.9999999999964
45,1,64.6,65.004,sì (CW),Infant voc,TD,-0.0030000000000001137,cg-inf,-3.0000000000001137
46,1,65.296,65.889,sì vieni (C DA),Caregiver voc,TD,0.2920000000000016,inf-cg,292.0000000000016
47,1,66.399,67.008,xxx,Infant voc,TD,0.5100000000000051,cg-inf,510.0000000000051
48,1,68.52,69.208,vieni qui ( - ),Caregiver voc,TD,1.5120000000000005,inf-cg,1512.0000000000005
49,1,70.705,71.106,allora (C),Caregiver voc,TD,1.4969999999999999,cg-cg,1497.0
50,1,71.914,72.488,questo (RE),Caregiver voc,TD,0.8080000000000069,cg-cg,808.0000000000069
51,1,73.196,75.14,eh no ma male (CW),Infant voc,TD,0.7079999999999984,cg-inf,707.9999999999984
52,1,75.163,76.17,ti fa male? (QO),Caregiver voc,TD,0.022999999999996135,inf-cg,22.999999999996135
53,1,76.321,76.546,sì ,Infant voc,TD,0.15099999999999625,cg-inf,150.99999999999625
54,1,76.901,79.209,spetta spetta che mettiamo apposto qui. (DA W),Caregiver voc,TD,0.35499999999998977,inf-cg,354.99999999998977
55,1,81.662,83.006,sto povero culetto (RO),Caregiver voc,TD,2.453000000000003,cg-cg,2453.0000000000027
56,1,83.798,84.299,[MOM dà un bacio],Caregiver voc,TD,0.7920000000000016,cg-cg,792.0000000000016
57,1,84.436,85.002,passato? (QO),Caregiver voc,TD,0.13700000000000045,cg-cg,137.00000000000045
58,1,85.393,85.833,sì (CW),Infant voc,TD,0.39100000000000534,cg-inf,391.00000000000534
59,1,86.399,87.608,male della puntura? (QO),Caregiver voc,TD,0.5660000000000025,inf-cg,566.0000000000025
60,1,87.994,88.266,sì (CW),Infant voc,TD,0.3859999999999957,cg-inf,385.9999999999957
61,1,88.4,89.212,siediti qua (DA),Caregiver voc,TD,0.13400000000000034,inf-cg,134.00000000000034
62,1,90.941,92.547,ehh male (CW),Infant voc,TD,1.7289999999999992,cg-inf,1728.999999999999
63,1,92.557,93.203,ti fa ancora male? (QO),Caregiver voc,TD,0.010000000000005116,inf-cg,10.000000000005116
64,1,93.203,95.485,ma dovrai restare sempre in piedi per il resto della vita. (RO),Caregiver voc,TD,0.0,cg-cg,0.0
65,1,95.334,95.611,tò,Infant voc,TD,-0.15099999999999625,cg-inf,-150.99999999999625
66,1,96.603,97.668,così non ti fa male? (QO),Caregiver voc,TD,0.9919999999999902,inf-cg,991.9999999999902
67,1,97.875,98.198,sì (CW),Infant voc,TD,0.20699999999999363,cg-inf,206.99999999999363
68,1,98.16,98.547,va bene (C),Caregiver voc,TD,-0.0379999999999967,inf-cg,-37.9999999999967
69,1,99.5,100.209,allora (C),Caregiver voc,TD,0.953000000000003,cg-cg,953.000000000003
70,1,100.599,101.001,qui (RE),Caregiver voc,TD,0.39000000000000057,cg-cg,390.00000000000057
71,1,102.597,103.105,i cubi,Caregiver voc,TD,1.5959999999999894,cg-cg,1595.9999999999895
72,1,104.037,104.807,xxx,Infant voc,TD,0.9320000000000022,cg-inf,932.0000000000022
73,1,105.339,107.21,questa è una bambolina. (RE),Caregiver voc,TD,0.5319999999999965,inf-cg,531.9999999999965
74,1,108.328,109.03,questo cos’è? (QE),Caregiver voc,TD,1.1180000000000092,cg-cg,1118.000000000009
75,1,109.339,110.646,ohhh,Infant voc,TD,0.3089999999999975,cg-inf,308.9999999999975
76,1,110.661,111.468,cos’è questo? (QE),Caregiver voc,TD,0.015000000000000568,inf-cg,15.000000000000568
77,1,111.468,112.866,xxx,Infant voc,TD,0.0,cg-inf,0.0
78,1,112.88,113.568,cos’è questo? ( - ),Caregiver voc,TD,0.013999999999995794,inf-cg,13.999999999995794
79,1,113.568,113.965,un? ( - ),Caregiver voc,TD,0.0,cg-cg,0.0
80,1,114.001,114.929,(ae)reo,Infant voc,TD,0.036000000000001364,cg-inf,36.000000000001364
81,1,114.959,115.606,un aereo? (QE),Caregiver voc,TD,0.030000000000001137,inf-cg,30.000000000001137
82,1,115.8,116.196,sì (CW),Infant voc,TD,0.19400000000000261,cg-inf,194.00000000000261
83,1,116.335,118.608,come quelli che ti ha portato a vedere papà in aeroporto? (QE),Caregiver voc,TD,0.1389999999999958,inf-cg,138.9999999999958
84,1,118.61,119.006,sì (CW),Infant voc,TD,0.001999999999995339,cg-inf,1.9999999999953388
85,1,119.006,119.705,come facevano? (QE),Caregiver voc,TD,0.0,inf-cg,0.0
86,1,119.886,120.866,[fa il verso dell’aereo]	(CWOP),Infant voc,TD,0.18099999999999739,cg-inf,180.99999999999739
87,1,120.601,121.997,[fa il verso dell’aereo]	(OP),Caregiver voc,TD,-0.26500000000000057,inf-cg,-265.00000000000057
88,1,122.002,123.024,sempre più in alto. (RE),Caregiver voc,TD,0.0049999999999954525,cg-cg,4.9999999999954525
89,1,123.904,125.485,aveva tutte le luci però. (RE),Caregiver voc,TD,0.8799999999999955,cg-cg,879.9999999999955
90,1,125.489,125.764,vero? (C),Caregiver voc,TD,0.0040000000000048885,cg-cg,4.0000000000048885
91,1,125.768,126.404,accese (RE),Caregiver voc,TD,0.0040000000000048885,cg-cg,4.0000000000048885
92,1,127.966,128.411,sì (RE),Infant voc,TD,1.5619999999999976,cg-inf,1561.9999999999977
93,1,130.3,130.929,pipi ,Infant voc,TD,1.88900000000001,inf-inf,1889.00000000001
94,1,131.002,131.547,pipi,Infant voc,TD,0.0730000000000075,inf-inf,73.0000000000075
95,1,131.604,132.184,pipi,Infant voc,TD,0.05700000000001637,inf-inf,57.00000000001637
96,1,132.256,133.281,cubi (RE) cubi ( - ) cubi ( - ),Caregiver voc,TD,0.07200000000000273,inf-cg,72.00000000000273
97,1,133.296,133.808,questo cos’è? (QE),Caregiver voc,TD,0.014999999999986358,cg-cg,14.999999999986358
98,1,134.335,135.524,xxx,Infant voc,TD,0.5270000000000152,cg-inf,527.0000000000152
99,1,135.36,135.807,come fa? (QE),Caregiver voc,TD,-0.16399999999998727,inf-cg,-163.99999999998727
