,sub,onset,offset,cat,tier,group,latency,latency group
1,1,0.783,1.696,questi piattini (RE),Caregiver voc,1,,
2,1,1.696,2.601,mescoli la pappa (DA),Caregiver voc,1,0.0,within person
3,1,2.603,4.607,e gliene dai un pochino alla bambolina forse? (QA),Caregiver voc,1,0.002000000000000224,within person
4,1,4.715,5.092,sì (C),Infant voc,1,0.10799999999999965,cg-infant
5,1,5.697,6.31,così. (C),Caregiver voc,1,0.6050000000000004,infant-cg
6,1,6.479,7.941,xxx,Infant voc,1,0.16900000000000048,cg-infant
7,1,8.796,10.013,xxx,Infant voc,1,0.8549999999999995,within person
8,1,10.538,10.963,xxx,Infant voc,1,0.5250000000000004,within person
9,1,11.9,13.205,xxx la bambina (CW),Infant voc,1,0.9370000000000012,within person
10,1,13.4,14.606,xxx,Infant voc,1,0.19500000000000028,within person
11,1,15.406,17.239,xxx ina,Infant voc,1,0.8000000000000007,within person
12,1,17.399,18.208,vieni Olga. (DA NC),Caregiver voc,1,0.16000000000000014,infant-cg
13,1,18.607,19.205,guarda (DA),Caregiver voc,1,0.3990000000000009,within person
14,1,20.601,22.209,non ti piace questo gioco? (QO),Caregiver voc,1,1.3960000000000008,within person
15,1,22.8,23.55,no (CW),Infant voc,1,0.5910000000000011,cg-infant
16,1,23.567,24.411,no? (C),Caregiver voc,1,0.01699999999999946,infant-cg
17,1,24.902,26.467,pappa (CW),Infant voc,1,0.49099999999999966,cg-infant
18,1,26.431,27.123,non ti piace questo (RO),Caregiver voc,1,-0.03599999999999781,infant-cg
19,1,27.124,28.485,non ti piacciono questi? (QO),Caregiver voc,1,0.0009999999999976694,within person
20,1,28.597,29.171,no (CW),Infant voc,1,0.11200000000000188,cg-infant
21,1,29.171,29.943,c’è il coperchio. (RE),Caregiver voc,1,0.0,infant-cg
22,1,29.944,31.006,dov’era il coperchio?.(QE),Caregiver voc,1,0.0009999999999976694,within person
23,1,32.404,32.826,bò,Infant voc,1,1.3980000000000032,cg-infant
24,1,34.101,34.723, eccolo qua.(RE),Caregiver voc,1,1.2749999999999986,infant-cg
25,1,37.599,38.005,papa ,Infant voc,1,2.8759999999999977,cg-infant
26,1,38.305,40.244,versiamo il tè qua nei bicchieri. (W),Caregiver voc,1,0.29999999999999716,infant-cg
27,1,41.203,42.284,mescola bravo (DA AE),Caregiver voc,1,0.9590000000000032,within person
28,1,42.284,43.404,c’è qua lo zucchero (RE) ,Caregiver voc,1,0.0,within person
29,1,43.407,44.004,versa il tè (DA),Caregiver voc,1,0.0029999999999930083,within person
30,1,45.101,46.41,oh xxx,Infant voc,1,1.0970000000000013,cg-infant
31,1,46.593,47.807,xxx,Infant voc,1,0.18300000000000693,within person
32,1,48.0,49.205,la bambina (CW),Infant voc,1,0.19299999999999784,within person
33,1,49.278,50.128,la bambolina? (QE),Caregiver voc,1,0.0730000000000004,infant-cg
34,1,50.202,50.858,sì (CW),Infant voc,1,0.07399999999999807,cg-infant
35,1,51.194,52.126,sì (C),Caregiver voc,1,0.3360000000000056,infant-cg
36,1,52.134,52.95,prendila in braccio (DA),Caregiver voc,1,0.008000000000002672,within person
37,1,52.952,53.402,è piccola (RE),Caregiver voc,1,0.001999999999995339,within person
38,1,53.402,54.506,non sa stare seduta ( - ),Caregiver voc,1,0.0,within person
39,1,53.529,55.228,xxx,Infant voc,1,-0.9769999999999968,cg-infant
40,1,55.338,55.801,cosa? (QO),Caregiver voc,1,0.10999999999999943,infant-cg
41,1,56.292,57.607,xxx,Infant voc,1,0.49099999999999966,cg-infant
42,1,58.603,59.664,xxx,Infant voc,1,0.9960000000000022,within person
43,1,61.66,63.102,vuoi che ti leggo il libro? (QM),Caregiver voc,1,1.9959999999999951,infant-cg
44,1,64.192,64.603,mmm? (AN),Caregiver voc,1,1.0899999999999963,within person
45,1,64.6,65.004,sì (CW),Infant voc,1,-0.0030000000000001137,cg-infant
46,1,65.296,65.889,sì vieni (C DA),Caregiver voc,1,0.2920000000000016,infant-cg
47,1,66.399,67.008,xxx,Infant voc,1,0.5100000000000051,cg-infant
48,1,68.52,69.208,vieni qui ( - ),Caregiver voc,1,1.5120000000000005,infant-cg
49,1,70.705,71.106,allora (C),Caregiver voc,1,1.4969999999999999,within person
50,1,71.914,72.488,questo (RE),Caregiver voc,1,0.8080000000000069,within person
51,1,73.196,75.14,eh no ma male (CW),Infant voc,1,0.7079999999999984,cg-infant
52,1,75.163,76.17,ti fa male? (QO),Caregiver voc,1,0.022999999999996135,infant-cg
53,1,76.321,76.546,sì ,Infant voc,1,0.15099999999999625,cg-infant
54,1,76.901,79.209,spetta spetta che mettiamo apposto qui. (DA W),Caregiver voc,1,0.35499999999998977,infant-cg
55,1,81.662,83.006,sto povero culetto (RO),Caregiver voc,1,2.453000000000003,within person
56,1,83.798,84.299,[MOM dà un bacio],Caregiver voc,1,0.7920000000000016,within person
57,1,84.436,85.002,passato? (QO),Caregiver voc,1,0.13700000000000045,within person
58,1,85.393,85.833,sì (CW),Infant voc,1,0.39100000000000534,cg-infant
59,1,86.399,87.608,male della puntura? (QO),Caregiver voc,1,0.5660000000000025,infant-cg
60,1,87.994,88.266,sì (CW),Infant voc,1,0.3859999999999957,cg-infant
61,1,88.4,89.212,siediti qua (DA),Caregiver voc,1,0.13400000000000034,infant-cg
62,1,90.941,92.547,ehh male (CW),Infant voc,1,1.7289999999999992,cg-infant
63,1,92.557,93.203,ti fa ancora male? (QO),Caregiver voc,1,0.010000000000005116,infant-cg
64,1,93.203,95.485,ma dovrai restare sempre in piedi per il resto della vita. (RO),Caregiver voc,1,0.0,within person
65,1,95.334,95.611,tò,Infant voc,1,-0.15099999999999625,cg-infant
66,1,96.603,97.668,così non ti fa male? (QO),Caregiver voc,1,0.9919999999999902,infant-cg
67,1,97.875,98.198,sì (CW),Infant voc,1,0.20699999999999363,cg-infant
68,1,98.16,98.547,va bene (C),Caregiver voc,1,-0.0379999999999967,infant-cg
69,1,99.5,100.209,allora (C),Caregiver voc,1,0.953000000000003,within person
70,1,100.599,101.001,qui (RE),Caregiver voc,1,0.39000000000000057,within person
71,1,102.597,103.105,i cubi,Caregiver voc,1,1.5959999999999894,within person
72,1,104.037,104.807,xxx,Infant voc,1,0.9320000000000022,cg-infant
73,1,105.339,107.21,questa è una bambolina. (RE),Caregiver voc,1,0.5319999999999965,infant-cg
74,1,108.328,109.03,questo cos’è? (QE),Caregiver voc,1,1.1180000000000092,within person
75,1,109.339,110.646,ohhh,Infant voc,1,0.3089999999999975,cg-infant
76,1,110.661,111.468,cos’è questo? (QE),Caregiver voc,1,0.015000000000000568,infant-cg
77,1,111.468,112.866,xxx,Infant voc,1,0.0,cg-infant
78,1,112.88,113.568,cos’è questo? ( - ),Caregiver voc,1,0.013999999999995794,infant-cg
79,1,113.568,113.965,un? ( - ),Caregiver voc,1,0.0,within person
80,1,114.001,114.929,(ae)reo,Infant voc,1,0.036000000000001364,cg-infant
81,1,114.959,115.606,un aereo? (QE),Caregiver voc,1,0.030000000000001137,infant-cg
82,1,115.8,116.196,sì (CW),Infant voc,1,0.19400000000000261,cg-infant
83,1,116.335,118.608,come quelli che ti ha portato a vedere papà in aeroporto? (QE),Caregiver voc,1,0.1389999999999958,infant-cg
84,1,118.61,119.006,sì (CW),Infant voc,1,0.001999999999995339,cg-infant
85,1,119.006,119.705,come facevano? (QE),Caregiver voc,1,0.0,infant-cg
86,1,119.886,120.866,[fa il verso dell’aereo]	(CWOP),Infant voc,1,0.18099999999999739,cg-infant
87,1,120.601,121.997,[fa il verso dell’aereo]	(OP),Caregiver voc,1,-0.26500000000000057,infant-cg
88,1,122.002,123.024,sempre più in alto. (RE),Caregiver voc,1,0.0049999999999954525,within person
89,1,123.904,125.485,aveva tutte le luci però. (RE),Caregiver voc,1,0.8799999999999955,within person
90,1,125.489,125.764,vero? (C),Caregiver voc,1,0.0040000000000048885,within person
91,1,125.768,126.404,accese (RE),Caregiver voc,1,0.0040000000000048885,within person
92,1,127.966,128.411,sì (RE),Infant voc,1,1.5619999999999976,cg-infant
93,1,130.3,130.929,pipi ,Infant voc,1,1.88900000000001,within person
94,1,131.002,131.547,pipi,Infant voc,1,0.0730000000000075,within person
95,1,131.604,132.184,pipi,Infant voc,1,0.05700000000001637,within person
96,1,132.256,133.281,cubi (RE) cubi ( - ) cubi ( - ),Caregiver voc,1,0.07200000000000273,infant-cg
97,1,133.296,133.808,questo cos’è? (QE),Caregiver voc,1,0.014999999999986358,within person
98,1,134.335,135.524,xxx,Infant voc,1,0.5270000000000152,cg-infant
99,1,135.36,135.807,come fa? (QE),Caregiver voc,1,-0.16399999999998727,infant-cg
100,1,136.036,137.047,oh oh oh,Infant voc,1,0.22900000000001342,cg-infant
101,1,137.072,139.203,non è una gallina questa qui veramente (RE),Caregiver voc,1,0.025000000000005684,infant-cg
102,1,139.205,140.004,è un uccellino (RE),Caregiver voc,1,0.0020000000000095497,within person
103,1,140.506,141.546,ecino ,Infant voc,1,0.5020000000000095,cg-infant
104,1,141.56,141.686,mmm (C),Caregiver voc,1,0.014000000000010004,infant-cg
105,1,141.687,142.61,come fa l’uccellino? (QE),Caregiver voc,1,0.0010000000000047748,within person
106,1,142.686,143.887,cip cip cip (CWOP),Infant voc,1,0.0759999999999934,cg-infant
107,1,143.891,144.811,cip cip cip (OP),Caregiver voc,1,0.003999999999990678,infant-cg
108,1,145.625,146.306,questo cos’è? (QE),Caregiver voc,1,0.813999999999993,within person
109,1,146.675,147.905,xxx,Infant voc,1,0.3689999999999998,cg-infant
110,1,147.841,149.008, e a chi telefoni tu? (QA),Caregiver voc,1,-0.06399999999999295,infant-cg
111,1,149.342,149.805,papà (CW),Infant voc,1,0.3340000000000032,cg-infant
112,1,150.864,151.467,fammi sentire (DA),Caregiver voc,1,1.0589999999999975,infant-cg
113,1,151.467,152.507,cosa gli dici a papà?	(QA),Caregiver voc,1,0.0,within person
114,1,153.044,153.603,ciao papà (QA),Caregiver voc,1,0.5370000000000061,within person
115,1,153.606,155.07,sono venuto a prendere nonno Saverio. (SB),Caregiver voc,1,0.002999999999985903,within person
116,1,155.509,156.083,sì (CW),Infant voc,1,0.43899999999999295,cg-infant
117,1,156.104,156.345,dai (AE),Caregiver voc,1,0.021000000000015007,infant-cg
118,1,156.349,157.291,raccontami del papà (DA),Caregiver voc,1,0.003999999999990678,within person
119,1,157.543,158.106,xxx,Infant voc,1,0.25200000000000955,cg-infant
120,1,158.762,159.504,xxx,Infant voc,1,0.6560000000000059,within person
121,1,160.443,161.249,come stai papà? (CW),Infant voc,1,0.9390000000000214,within person
122,1,161.54,162.002,xxx,Infant voc,1,0.2909999999999968,within person
123,1,162.478,163.005,xxx,Infant voc,1,0.4759999999999991,within person
124,1,163.601,165.805,come stai papà?? (CW),Infant voc,1,0.5960000000000036,within person
